;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
172;approprier;;;;;;;;;;;;;;;;;;;aprOprie;;;;;;;;;;;;;;;;;;;;;aprOprie;;;;;;;;
173;approuver;;;;;;apruva;;;;;;;;;;;;;;;;apruva;;apruve;apruv;;;;;;;;;apruv;;;;apruv;;;;apruve;;;;;;apruv
174;apprécier;;;;;;aprEsja;;;;;;;aprEsijô;aprEsjE;;;aprEsjE;aprEsjE;aprEsje;;;;;aprEsje;aprEsi;;;;;aprEsirE;;;;aprEsi;;;;aprEsi;;;aprEsje;aprEsje;;;;;;
175;appréhender;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aprEâd;;;;;;;;;;
176;apprêter;;;;;;;;;;;;;;aprEtE;;aprEtE;;aprEtE;;;;;;;aprEt;aprEtâ;;;;;;;;aprEt;;;;aprEt;;;;;;;;;;
177;appuyer;;;;;;apHia;;;;;;;;;;;;apHiE;apHie;;;;;;apHi;apHiâ;;;;;;;;apHi;apHie;;;apHi;;apHie;apHie;apHie;;;;;;
178;appâter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;apat;;;;;;apate;;;;;;;;
179;arborer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;arbOr;;;arbOr;arbOr;;;;;;;;;;
180;armer;;;;;;;;;;;;;;;;;;armE;arme;;;;;arme;;;;;;;;;;arm;;arm;;;;arme;arme;arme;;;;;;
181;arnaquer;;;;;;;;;;;;;;;;;;;arnake;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
182;arpenter;;;;;;arpâta;;;;;;;;;;;;arpâtE;;;;;;;;arpâtâ;;;;;;;;;;;arpât;;;;;;;;;;;
183;arracher;;araSE;;;;araSa;;;;;;;;araSE;;;araSE;araSE;araSe;;;;;;araS;araSâ;;;;;;;;araS;;;;araS;araSe;araSe;araSe;araSe;;araS;;;;araS
184;arranger;;;;;;arâZa;;arâZ6rE;;;arâZ6rô;arâZ6ra;;;arâZje;;;arâZE;arâZe;;;;;arâZe;arâZ;;;arâZ6rE;;;;arâZ6rE;;arâZ;arâZe;;;arâZ;;arâZe;arâZe;arâZe;;;;;arâZ;
185;arrimer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;arim;;;arime;;;;;;;;
186;arriver;;arivE;;;arivEr;ariva;;ariv6rE;ariv6re;;ariv6rô;ariv6ra;arivjô;arivE;;arivE;arivE;arivE;arive;;;ariva;;;ariv;arivâ;;ariv6rE;;ariv6rE;;ariv6rE;arivô;ariv;arive;ariv;ariv;ariv;arive;arive;arive;arive;;ariv;;;ariv;ariv
187;arroger;;;;;;;;;;;;;;;;;;arOZE;;;;;;;;;;;;;;;;arOZ;;;;;;;;;;;;;;
188;arrondir;;;;;;arôdi;;;;;;arôdira;;;;;;arôdisE;;;;;;;arôdi;;;;;;;;;;;;;;;;;;;;;;;
189;arroser;;;;;;;;;;;;;;;;;;arOzE;arOze;;;;arOzô;;aroz;;;;;;;;;aroz;;;;aroz;;;arOze;;;;;;;
190;arrêter;;arEtE;;;arEtEr;arEta;arEt6rô;arEt6rE;;;arEt6rô;arEt6ra;arEtjô;arEtE;;arEtE;arEtE;arEtE;arEte;;;;arEtô;arEte;arEt;arEtâ;;;;;;;arEtô;arEt;arEte;arEt;arEt;arEt;arEte;arEte;arEte;arEte;arEtjô;arEt;;arEt;arEt;arEt
191;articuler;;;;;;;;;;;;;;;;;;;;;;;;;artikyl;;;;;;;;;;;;;;;;;;;;;;;
192;asperger;;;;;;;;;;;;;;;;;;aspErZE;;;;;;;aspErZ;;;;;;;;;;;;;;;aspErZe;;aspErZe;;;;;;
193;asphyxier;;;;;;;;;;;;asfiksira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;aspirer;;;;;;;;;;;;;;aspirE;aspirje;;aspirE;aspirE;aspire;;;;;;aspir;aspirâ;;;;;;;;aspir;;;aspir;aspir;;aspire;;;;;;;;
195;assaillir;;;;;asajir;;;;;;;;;;;;;asajE;asajir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;assassiner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asasin;;;asasine;asasine;;;;;;
197;assembler;;;;;;;;;;;;;;;;;;;asâble;;;;;;;;;;;;;;;asâbl;;;;asâbl;;;asâble;;;;;;;
198;assener;;;;;;;;;;;;;;;;;;;;;;;;;asEn;as6nâ;;;;;;;;;;;;;;;;;;;;;;
199;asseoir;asim;asi;;asi;asir;asi;;;;;;;;asEjE;;asEjE;asEjE;asEjE;aswar;;;;;asEje;asje,aswa;;;;;;;;asEjô;asje,aswa;asEje;asje,aswa;asEj;asje,aswa;asiz;asiz;;;;aswa;;;;asEj
200;assermenter;;;;;;;;;;;;;;;;;;;;;;;;asErmâte;;;;;;;;;;;;;;;;;;;;;;;;
201;asservir;;;;;;;;;;;asErvirô;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;assigner;;asiJE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;assimiler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asimil;asimile;;;;;;;asimile;;;;;;
204;assister;;;;;;asista;;;;;;;;asistE;;asistE;;asistE;asiste;;;;;;asist;asistâ;;;;;;;;asist;;;asist;asist;;;;asiste;;;;;;asist
205;associer;;;;;;;;;;;;;;;;;;;asOsje;;;;;;asOsi;;;;;;;;;asOsi;;;;asOsi;;;;asOsje;;;;;;
206;assoiffer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aswafe;aswafe;;;;;;
207;assombrir;;;;;;asôbri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asôbri;;;;;;;
208;assommer;;;;;;;;;;;;;;;;;;;asOme;;;;;;;;;;;;;;;;;;;;;;;asOme;;;;;;
209;assortir;;;;;;;;;;;;;;asOrtisE;;;;;asOrtir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;assoupir;;;;;;;;;;;;;;;;;;;asupir;;;;;;;;;;;;;;;;;;;;;asupi;;;;;;;;
211;assouplir;;;;;;;;;;;;;;;;;;;asuplir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;assourdir;;;;;;;;;;;;;;;;;asurdisE;;;;;;;;;;;;;;;;;;;asurdi;;;;;;;;;;;;
213;assouvir;;;;;;;;;;;;;;;;;;;asuvir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;assujettir;;;;;;asyZEti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asyZEti;;;;;;
215;assumer;;;;;;;;;;;;;;;;;;asymE;asyme;;;;;;;;;;;;;;;asym;;;;asym;asyme;;;;;;;;;asym
216;assurer;;asyrE;;;asyrEr;asyra;;;;;;;;asyrE;;;;asyrE;asyre;;;;asyrô;;asyr;asyrâ;;;;;;;;asyr;asyre;;;asyr;;asyre;;asyre;;;;asyr;;asyr
217;assécher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asES;;;;;;;;;;
218;astiquer;;;;;;;;;;;;;;;;;;;;;;;;;astik;;;;;;;;;astik;;;astik;;;;;;;;;;;
219;astreindre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;astrê;;;;;;;
220;attabler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;atable;;;;;;;
221;attacher;;;;;;;;;;;;;;;;;;;ataSe;;;;;ataSe;ataS;;;;;;;;;ataS;;;;ataS;;ataSe;ataSe;ataSe;;;;;;
222;attaquer;;;;;;ataka;;;;;;;;;;;atakE;atakE;atake;;;;;atake;atak;atakâ;;;;;;;atakô;atak;;;atak;atak;;atake;atake;atake;;;;;atak;atak
223;attarder;;;;;atardEr;;;;;;;;;;;;;;atarde;;;;;;atard;;;;;;;;;;;;;atard;;;;;;atard;;;;
224;atteindre;atEJim;atEJi;;;atEJir;atEJi;;;;;;;atEJô;;;atEJE;atEJE;atEJE;atêdr;;;;;;;;;atêdrE;;;;;;;;;;atê;;atêt;atê;atê;;;;;;atEJ
225;atteler;;;;;;;;;;;;;;at6lE;;;;;at6le;;;;;;;;;;;;;;;;;;;;;;;at6le;;;;;;atEl
226;attendre;atâdim;atâdi;;;atâdir;atâdi;atâdrô;atâdrE;;atâdra;;atâdra;atâdjô;atâdE;atâdje;atâdE;atâdE;atâdE;atâdr;;;;atâdô;atâde;atâ;atâdâ;;atâdrE;;atâdrE;;atâdrE;atâdô;atâ;atâde;atâ;atâd;atâ;;atâdy;;atâdy;;;atâdje;;;atâd
227;attendrir;;;;;;atâdri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;atâdri;atâdri;atâdri;atâdri;;;;;;
228;atterrir;;;;;;atEri;;;;;;;;;;;;;atErir;;;;;;;;;;;;;;;;;;;atEri;;;;;;;;;;
229;attester;;;;;;;;;;;;;;;;;;atEstE;atEste;;;;;;;atEstâ;;;;;;;;atEst;;;;;;;;;;;;;;
230;attifer;;;;;;;;;;;;;;;;;;;;;;;;;;atifâ;;;;;;;;;;;;;;;;;;;;;;
231;attirer;;;;;;atira;;;;;;atir6ra;;;atirje;atirE;atirE;atirE;atire;;;;;;atir;;;;;;;;;atir;atire;;;atir;;atire;atire;atire;;;;;;
232;attiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;atiz;;;;;;;;;;
233;attiédir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;atjEdi;atjEdi;;;;;;
234;attraper;;atrapE;;;;;atrap6rô;;;;;;;;;atrapE;;atrapE;atrape;;;;;atrape;atrap;;;;;;;;;atrap;atrape;atrap;;atrap;;;;atrape;;;;atrap;;atrap
235;attribuer;;;;;;atribya;;;;;;;;;;;;;atribye;;;;;;atriby;atribyâ;;;;;;;;atriby;;;;;;;;atribye;;;;;;
236;attrister;;;;;atristEr;;;;;;;;;;;;;atristE;;;;;;;;;;;;;;;;atrist;;;;atrist;;;atriste;;;;;;;
237;attrouper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;atrup;;;;;;;;;;;
238;atténuer;;;;;;atEnya;;;;;;;;;;;;;atEnye;;;;;;atEny;atEnyâ;;;;;;;;;;;;;;;atEnye;;;;;;;
239;auditionner;;;;;;;;;;;;;;;;;;;;;;;;;OdisjOn;;;;;;;;;;;;;;;;;;;;;;;
240;augmenter;;;;;;;;;;;;;;;;;;;Ogmâte;;;;;;;;;;;;;;;Ogmât;;;Ogmât;Ogmât;;;;Ogmâte;;;;;;Ogmât
241;augurer;;;;;;;;;;;;;;;;;;;;;;;;;Ogyr;;;;;;;;;;;;;;;;;;;;;;;
242;ausculter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oskylte;;;;;;
243;authentiquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Otâtik;;;;;;;;;;
244;autoriser;;;;;;;;;;;;;;;;;;OtOrizE;OtOrize;;;;;;;OtOrizâ;;;;;;OtOriz6rE;;OtOriz;;;;OtOriz;;;;OtOrize;;;;;;
245;avaler;;avalE;;;;;;;;;;;;;;;;avalE;avale;;;;;;aval;avalâ;;;;;;;;aval;;;;aval;;;avale;avale;;;;;;
246;avancer;;;;;;avâsa;;;;;avâs6rô;;avâsjô;avâsE;;;;avâsE;avâse;;;;avâsô;avâse;avâs;avâsâ;;;;;;;avâsô;avâs;avâse;;avâs;avâs;;avâse;;avâse;;;;;;
247;avantager;;;;;;;;;;;;;;;;;;;;;;;;;avâtaZ;;;;;;;;;;;;;;;;;;;;;;;
248;aventurer;;;;;;;;;;;;;;;;;avâtyrE;;;;;;;;avâtyr;;;;;;;;;;;;;avâtyr;;;;;;;;;;
249;avertir;;;;;;;;avErtirE;;;;;;;;;;;avErtir;;;;;;avErti;;;;;;;;;avErti;;avErti;;;;;;avErti;;;;;;
250;aveugler;;;;;;;;;;;;;;;;;av6glE;;;;;;;;av9gl;;;;;;;;;;;;;;;;;av6gle;;;;;;
251;aviser;;;;;;;;;;;;;;;;;;;;;;;;;aviz;avizâ;;;;;;;;aviz;;;;aviz;;;;avize;;;;;;
252;aviver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;avive;;;;;;;;
253;avoir;ym;y;;;;y;Orô;OrE;Ore;Ora;Orô;Ora;avjô;avE;avje;avE;avE;avE;avwar;ys;;y;Ejô;Eje;E;Ejâ;Orjô;OrE;Orje;OrE;OrE;OrE;avô;E;ave;a;ô;a;y;y;y;y;Ejô;E;Eje;E;E;E
254;avoisiner;;;;;;;;;;;;;;;;;;avwazinE;;;;;;;;;;;;;;avwazin6rE;;;;;;;;;;;;;;;;
255;avorter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;avOrt;;;;avOrte;;;;;;
256;avouer;;;;;;;;;;avura;;;;;;;;avuE;avue;;;;;avue;avu;;;;;;avurE;;;avu;;;;avu;;;;avue;;;;;;
257;avérer;;;;;;;;;;;;;;;;;;avErE;;;;;;;;;;;;;;;;;;;;avEr;;;;;;;;;;avEr
258;aérer;;;;;;;;;;;;;;;;;;;aEre;;;;;;;;;;;;;;;aEr;;;;;;;;;;;;;;
259;babiller;;;;;;;;;;;;;;;;;;;babije;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
260;badigeonner;;;;;;badiZOna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
261;bafouer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bafue;;;;;;;;
262;bafouiller;;;;;;;;;;;;;;;;;;;bafuje;;;;;;bafuj;;;;;;;;;;;;;;;;;;;;;;;
263;bagarrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bagar;;;;;;;;;;
264;baguer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bage;;;;;;;;
265;baigner;;;;;;;;;;;;;;bEJE;;;;bEJE;;;;;;;bEJ;;;;;;;;;bEJ;;;;bEJ;;;bEJe;bEJe;;bEJ;;;;
266;baiser;;;;;;bEza;;;;;;;;;;;;bEzE;bEze;;;;;bEze;bEz;;;;;bEz6rE;;;;bEz;bEze;bEz;bEz;bEz;;bEze;;bEze;;;;bEz;;bEz
267;baisser;;;;;;;;;;;;;;;bEsje;bEsE;;bEsE;bEse;;;;;bEse;bEs;bEsâ;;;;;;;;bEs;bEse;;;bEs;bEse;bEse;bEse;bEse;;;;;;
268;balader;;;;;;;;;;;;;;;;;;;balade;;;;;;balad;;;;;;;;;balad;;;;;;;;balade;;;;;;
269;balancer;;;;;;;;;;;;balâs6ra;;;;;balâsE;balâsE;balâse;;;;;balâse;balâs;balâsâ;;;;;;;;balâs;balâse;;;balâs;;balâse;;balâse;;;;balâs;balâs;balâs
270;balayer;;;;;;;;;;;;;;;;;;balEjE;;;;;;;balE;balEjâ;;;;;;;;balE,balEj;;;;balE;balEje;;balEje;balEje;;;;;;
271;balbutier;;balbysjE;;;;;;;;;;;;;;;;balbysjE;;;;;;;;;;;;;;;;;;;;balbysi;;;;;;;;;;
272;ballotter;;;;;;;;;;;;;;;;;;balOtE;;;;;;;;;;;;;;;;;;;;;;;;balOte;;;;;;
273;banaliser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;banalize;;;;;;;;
274;bander;;;;;;;;;;;;;;;;;;;bâde;;;;;;;;;;;;;;;bâd;;bâd;;bâd;;;;;;;;;;
275;bannir;;;;;;;;;;;;;;;;;;;banir;;;;;;;;;;;;;banirE;;;;;;;;;;bani;;;;;;
276;baptiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;batiz;;;batize;batize;;;;;;
277;baragouiner;;;;;;;;;;;;;;;;;;;;;;;;;;baragwinâ;;;;;;;;;;;;;;;;;;;;;;
278;baratiner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;baratin;;;;;;;;;;;;;;
279;barboter;;;;;;;;;;;;;;;;;;;barbOte;;;;;;;;;;;;;;;;;;;;;;;barbOte;;;;;;
280;barbouiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;barbuj;;;;;barbuje;;;;;;
281;barder;;;;;;;;;;;;;;;;;;bardE;barde;;;;;;;;;;;;;;;;;;;;;barde;barde;;;;;;;
282;barioler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;barjOle;;;;;;;
283;barrer;;;;;;bara;;;;;;;;;;;;barE;;;;;;;bar;;;;;;;;;bar;;;;bar;;;;bare;;;;bar;;
284;barricader;;;;;;;;;;;;;;;;;;;barikade;;;;;;;;;;;;;;;barikad;;;;;;;;;;;;;;
285;basculer;;;;;;baskyla;;;;;;;;;;;baskylE;;;;;;;;baskyl;baskylâ;;;;;;;;;;;baskyl;;;;;;;;;;;
286;baser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;baz;;;;baz;;;;baze;;;;;;
287;bassiner;;;;;;;;;;;;;;;;;;;basine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
288;batailler;;;;;;;;;;;;;;;;;;;bataje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
289;battre;;;;;;;batrô;;;;;;;batE;batje;;batE;batE;batr;;;;;bate;ba;;;;;;batrE;batrE;batô;ba;;ba;bat;ba;;baty;baty;baty;;bat;;;;
290;bavarder;;;;;bavardEr;;;;;;;;;;;;;;bavarde;;;;;;bavard;;;;;;;;;;bavarde;;;bavard;;;;;;;;;;
291;baver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bav;;;;bav;;;;;;;;;;
292;becter;;;;;;;;;;;;;;;;;;;bEkte;;;;;;;;;;;;;;;bEkt;;;;;;;;;;;;;;
293;bercer;;;;;;;;;;;;;;bErsE;;;;;bErse;;;;;;;;;;;;;;;bErs;;;;;;;;;;;;;;
294;berner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bErne;;;;;;
295;besogner;;;;;b6zOJEr;;;;;;;;;;;;;b6zOJE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
296;beugler;;;;;;b6gla;;;;;;;;;;;b6glE;;;;;;;;;;;;;;;;;;;;b2gl;;;;;;;;;;;
297;bigler;;;;;;;;;;;;;;;;;;;;;;;;;;biglâ;;;;;;;;;;;;;;;;;;;;;;
298;biler;;;;;;;;;;;;;;;;;;;;;;;;;bil;;;;;;;;;bil;;;;;;;;;;;;;;
299;blaguer;;;;;;;;;;;;;;;;;;blagE;;;;;;;;;;;;;;;;;;;;blag;;;;;;;;;;
300;blanchir;;;;;;;;;;;;;;;;;;;blâSir;;;;;;;;;;;;;;;;;;;;;;blâSi;blâSi;;;;;;
301;blasphémer;;;;;;;;;;;;;;;;;;;blasfEme;;;;;blasfEme;;;;;;;;;;;;;;;;;;;;;;;;
302;blesser;;;;;;;;;;;;;;;;;;blEsE;blEse;;;blEsa;;;blEs;;;;;;;;;blEs;;;blEs;blEs;;blEse;;blEse;;;;;;blEs
303;bleuir;;;;;;;;;;;;;;;;;;bl6isE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
304;blinder;;;;;;;;;;;;;;;;;;;blêde;;;;;;;;;;;;;;;;;;;;;;blêde;;;;;;;
305;bloquer;;;;;;;;;;;;;;;;;;;blOke;;;;;blOke;blOk;;;;;;;;;blOk;blOke;;blOk;blOk;;blOke;blOke;blOke;;;;;;blOk
306;blottir;;;;;;;;;;;;;;;;;;;blOtir;;;;;;blOti;;;;;;;;;blOti;;blOti;;blOti;;blOti;;;;;;;;
307;bluffer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bl9f;;;;;;;;;;
308;blâmer;;;;;;;;;;;;;;blamE;;;;;blame;;;;;;blam;;;;;;;;;;;;;;;;;;;blam;;blam;;
309;blêmir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blEmi;;;;;;
310;boire;;;;;;by;;;;;;;byvjô;byvE;;byvE;byvE;byvE;bwar;;;;byvô;byve;bwa;byvâ;;bwarE;;;;;byvô;bwa;byve;bwa;bwav;bwa;;;;by;;bwav;;;;bwav
311;boiser;;;;;;;;;;;;;;;;;;bwazE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
312;boiter;;;;;;;;;;;;;;;;;;;;;;;;;bwat;;;;;;;;;bwat;;bwat;;bwat;;;;;;;;;;
313;boitiller;;;;;;;;;;;;;;;;;;;;;;;;;;bwatijâ;;;;;;;;;;;;;;;;;;;;;;
314;bombarder;;;;;;;;;;;;;;;;;;bôbardE;bôbarde;;;;;;;;;;;;;;;;;;bôbard;;bôbarde;;;;;;;;;
315;bomber;;;;;;;;;;;;;;;;;;;bôbe;;;;;;;bôbâ;;;;;;;;;;;;bôb;;;;;;;;;;
316;bondir;;;;;;bôdi;;;;;;;;;;;;;;;;;;;bôdi;;;;;;;;;bôdi;;;;bôdi;;;;;;;;;;
317;border;;;;;;;;;;;;;;;;;;;;;;;;;bOrd;bOrdâ;;;;;;;;;;;bOrd;bOrd;;bOrde;;bOrde;;;;;;
318;borner;;;;;;bOrna;;;;;;;;;;;;;;;;;;;;bOrnâ;;;;;;;;bOrn;;;;bOrn;;;;bOrne;;;;;;
319;bosseler;;;;;;;;;;;;;;;;;;bOs6lE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
320;bosser;;;;;;;;;;;;;;;;;;;bOse;;;;;;bOs;;;;;;;;;bOs;bOse;bOs;bOs;bOs;;;;bOse;;;;;;
321;botter;;;;;;;;;;;;;;;;;;bOtE;bOte;;;;;;bOt;;;;;;;;;bOt;;;;bOt;;bOte;;;;;;;;
322;boucher;;;;;;;;;;;;;;;;;;;buSe;;;;;;buS;;;;;;;;;buS;;;;buS;buSe;;;buSe;;;;;;
323;boucler;;;;;;;;;;;;;;;;;;;bukle;;;;;;bukl;;;;;;;;;bukl;bukle;;bukl;bukl;;;;;;;;;;
324;bouder;;;;;;;;;;;;;;;;;;budE;bude;;;;;;;;;;;;;;;bud;bude;;;;;;;;;;;;;
325;bouffer;;;;;;;;;;;;;;;;;;;bufe;;;;;;buf;;;;;;;;;buf;;buf;;buf;;;;;;;;;;buf
326;bouffonner;;;;;;;;;;;;;;;;;;;bufOne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
327;bouger;;;;;;buZa;;;;;;buZ6ra;;;;;buZE;buZE;buZe;;;;;buZe;buZ;buZâ;;;;;;;;buZ;buZe;buZ;buZ;buZ;;;;buZe;;;;buZ;;
328;bougonner;;;;;;bugOna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329;bouillir;;;;;;;;;;;;;;;;;;;bujir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
330;bouillonner;;;;;;;;;;;;;;;;;;;;;;;;;bujOn;;;;;;;;;bujOn;;;;;;;;;;;;;;
331;boulanger;;;;;;;;;;;;;;;;;;;bulâZe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
332;bouler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bul;;;;bule;;;;bul;;
333;bouleverser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bul6vErs;;;;bul6vErs;;;bul6vErse;bul6vErse;;;;;;
334;boumer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bum;;;;;;;;;;
335;bourdonner;;;;;;;;;;;;;;;;;burdOnE;burdOnE;;;;;;;;;;;;;;;;;;;burdOn;burdOn;;;;;;;;;;
336;bourrer;;;;;;;;;;;;;;;;;;;bure;;;;;;bur;;;;;;;;;;;;;;;;bure;bure;;;;bur;;
337;boursoufler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bursufl;;;;;;;;;;
338;bousculer;;buskylE;;;;;;;;;;;;;;;buskylE;;buskyle;;;;;;buskyl;;;;;;;;;buskyl;;;buskyl;buskyl;;buskyle;;buskyle;;;;;;
339;bousiller;;;;;;;;;;;;;;;;;;;buzije;;;;;;buzij;;;;;;;;;buzij;;;;;;;;buzije;;;;;;
340;boutonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;butOn;;;;;;;;;;;;;;
341;boxer;;;;;;;;;;;;;;;;;;;;;;;;bOkse;;;;;;;;;;;;;;;;;;;;;;;;
342;brailler;;;;;;braja;;;;;;;;;;;;brajE;;;;;;;;;;;;;;;;braj;;;braj;;;;;;;;;;;
343;brancher;;;;;;;;;;;;;;;;;;;brâSe;;;;;;brâS;;;;;;;;;brâS;;brâS;;brâS;;;brâSe;brâSe;;;;;;brâS
344;brandir;;;;;;;;;;;;;;;;;;;brâdir;;;;;;;brâdisâ;;;;;;;;brâdi;brâdise;;;brâdi;;brâdi;brâdi;;;;;;;
345;branler;;;;;;;;;;;;;;brâlE;;;;;brâle;;;;;;brâl;;;;;;;;;brâl;;;;brâl;;;;;;brâl;;;;
346;braquer;;;;;;;;;;;;;;;;;;;brake;;;;;;;brakâ;;;;;;;;;;;;;brake;;;brake;;;;;;
347;brasser;;;;;;;;;;;;;;;;;;;brase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
348;braver;;;;;;;;;;;;;;;;;;;;;;;;;brav;;;;;;;;;;;;;;;;;brave;;;;;;
349;bredouiller;;;;;;br6duja;;;;;;;;;;;;;;;;;;;;br6dujâ;;;;;;;;;;br6duj;;;;;;;;;;;;
350;bricoler;;;;;;;;;;;;;;;;;;brikOlE;;;;;;;brikOl;;;;;;;;;;;;;;;brikOle;;;;;;;;
351;brider;;;;;;;;;;;;;;;;;;bridE;;;;;;;;bridâ;;;;;;;;;;;;;;;;;;;;;;
352;briller;;;;;;brija;;;;;;;;;;;brijE;brijE;brije;;;;;;brij;;;;;;;;;brij;;;;brij;;;;;;;;;;
353;briser;;;;;;briza;;;;;;;;;;;;brizE;brize;;;;;brize;briz;;;;;;;briz6rE;;briz;;;briz;briz;;brize;brize;brize;;;;;;
354;brocher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;brOSe;;;;;;;
355;broder;;;;;;;;;;;;;;;;;;brOdE;brOde;;;;;;;;;;;;;;;brOd;;;;;;brOde;brOde;;;;;;;
356;broncher;;;;;;;;;;;;;;;;;;brôSE;;;;;;;brôS;;;;;;;;;;;;;brôS;;;;;;;;;;
357;bronzer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;brôz;;;;;;brôze;;brôze;;;;;;
358;brosser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;brOs;;;;;brOse;;;brOse;;;;;;
359;brouiller;;;;;;;;;;;;;;;;;brujE;brujE;bruje;;;;;;;brujâ;;;;;;;;;;;;bruj;;bruje;;bruje;;;;;;
360;brouter;;;;;;;;;;;;;;;;;;;brute;;;;;;;;;;;;;;;;;;;brut;;;;;;;;;;
361;broyer;;;;;;;;;;;;;;;;;;brwajE;;;;;;;;;;;;;;;;brwa;;;brwa;;;;;brwaje;;;;;;
362;bruiner;;;;;;;;;;;;;;;;;;brHinE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
